2021-12-15 19:12:39 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:506 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:620 INFO  DurationOfStayPage :41 - Selecting length of stay : longer than 6 months
2021-12-15 19:12:962 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:59 INFO  WorkTypePage :34 - Selecting job type : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //div [@class='govuk-radios']//div//label]
2021-12-15 19:12:443 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (f0ce6a66af57fa03e1957d2c4a2bb720)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:499 INFO  ResultPage :29 - Getting result message : You need a visa to work in health and care
2021-12-15 19:12:499 INFO  ResultPage :41 - Verifying result message : You need a visa to work in health and care
2021-12-15 19:12:149 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 19:12:286 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 19:12:442 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Colombia
2021-12-15 19:12:771 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:861 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:894 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:925 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:960 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 19:12:407 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:529 INFO  FamilyImmigrationStatusPage :37 - Selecting immigration status[[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //label[normalize-space()='Yes']]
2021-12-15 19:12:873 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (e81280932444ae12bea2959c39bc6e13)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 19:12:953 INFO  ResultPage :29 - Getting result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 19:12:968 INFO  ResultPage :41 - Verifying result message : You’ll need a visa to join your family or partner in the UK
